Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	has_specified_output	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_output_of	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	has_specified_input	definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_input_of	definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	cholesterol intake avoidance	definition	A medical requirement or recommendation of avoiding the consumption of cholesterol.
ERROR	duplicate_definition	dietary cholesterol intake avoidance	definition	A medical requirement or recommendation of avoiding the consumption of cholesterol.
ERROR	duplicate_definition	psychotropic drug	definition	A loosely defined grouping of drugs that have effects on psychological function.
ERROR	duplicate_definition	psychotropic agent therapy	definition	A loosely defined grouping of drugs that have effects on psychological function.
ERROR	duplicate_definition	muscle of iris	definition	.
ERROR	duplicate_definition	gastric juice	definition	.
ERROR	duplicate_definition	lumbar spinal cord	definition	.
ERROR	duplicate_definition	hypothalamus-pituitary axis	definition	.
ERROR	duplicate_definition	salivatory nucleus	definition	.
ERROR	duplicate_definition	left ventricular trabecular myocardium	definition	.
ERROR	duplicate_definition	right ventricular trabecular myocardium	definition	.
ERROR	duplicate_definition	kidney rudiment	definition	.
ERROR	duplicate_definition	mesonephric smooth muscle tissue	definition	.
ERROR	duplicate_definition	extraembryonic mesoderm	definition	.
ERROR	duplicate_definition	early pharyngeal endoderm	definition	.
ERROR	duplicate_definition	layer of sclera	definition	.
ERROR	duplicate_definition	metanephros induced blastemal cells	definition	.
ERROR	duplicate_definition	differentiated genital tubercle	definition	.
ERROR	duplicate_definition	transitively anteriorly connected to	definition	.
ERROR	duplicate_definition	transitively distally connected to	definition	.
ERROR	duplicate_definition	transitively proximally connected to	definition	.
ERROR	multiple_equivalent_classes	peanut (whole)	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7483
ERROR	multiple_equivalent_classes	peanut (whole)	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7487
ERROR	multiple_equivalent_classes	negative regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7860
ERROR	multiple_equivalent_classes	negative regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7864
ERROR	multiple_equivalent_classes	positive regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7870
ERROR	multiple_equivalent_classes	positive regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7874
ERROR	multiple_equivalent_classes	positive regulation of phosphorus metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7902
ERROR	multiple_equivalent_classes	positive regulation of phosphorus metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7906
ERROR	multiple_equivalent_classes	negative regulation of phosphorus metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7912
ERROR	multiple_equivalent_classes	negative regulation of phosphorus metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid7916
ERROR	multiple_equivalent_classes	regulation of phosphate metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8005
ERROR	multiple_equivalent_classes	regulation of phosphate metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8009
ERROR	multiple_equivalent_classes	regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8015
ERROR	multiple_equivalent_classes	regulation of metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8019
ERROR	multiple_equivalent_classes	regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8087
ERROR	multiple_equivalent_classes	regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8091
ERROR	multiple_equivalent_classes	negative regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8097
ERROR	multiple_equivalent_classes	negative regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8101
ERROR	multiple_equivalent_classes	positive regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8107
ERROR	multiple_equivalent_classes	positive regulation of cellular metabolic process	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8111
ERROR	multiple_equivalent_classes	negative regulation of kinase activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8250
ERROR	multiple_equivalent_classes	negative regulation of kinase activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8254
ERROR	multiple_equivalent_classes	positive regulation of kinase activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8260
ERROR	multiple_equivalent_classes	positive regulation of kinase activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8264
ERROR	multiple_equivalent_classes	regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8335
ERROR	multiple_equivalent_classes	regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8339
ERROR	multiple_equivalent_classes	negative regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8345
ERROR	multiple_equivalent_classes	negative regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8349
ERROR	multiple_equivalent_classes	positive regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8355
ERROR	multiple_equivalent_classes	positive regulation of phosphorylation	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8359
ERROR	multiple_equivalent_classes	positive regulation of catalytic activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8374
ERROR	multiple_equivalent_classes	positive regulation of catalytic activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8378
ERROR	multiple_equivalent_classes	negative regulation of catalytic activity	owl:equivalentClass	e54afcb2-e59a-43dd-9776-85cb9fbd6ca5genid8385
