?cls	?def
<http://purl.obolibrary.org/obo/UBERON_0001981>	"A vessel through which blood circulates in the body."
<http://purl.obolibrary.org/obo/CHEBI_35352>	"Any heteroorganic entity containing at least one carbon-nitrogen bond."
<http://purl.obolibrary.org/obo/UBERON_0004022>	"The single layer of epithelial cells that lines the early neural tube and develops into the nervous system and into the neural crest cells"
<http://purl.obolibrary.org/obo/UBERON_0003515>	"A blood vessel that is part of a forelimb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/CHEBI_10545>	"Elementary particle not affected by the strong force having a spin 1/2, a negative elementary charge and a rest mass of 0.000548579903(13) u, or 0.51099906(15) MeV."
<http://purl.obolibrary.org/obo/CHEBI_35473>	"A traditional grouping of drugs said to have a soothing or calming effect on mood, thought or behaviour."
<http://purl.obolibrary.org/obo/CHEBI_16236>	"A primary alcohol that is ethane in which one of the hydrogens is substituted by a hydroxy group."
<http://purl.obolibrary.org/obo/UBERON_0006574>	"The pectinate line (anocutaneous line, dentate line, anorectal junction) is a line which divides the upper 2/3rds and lower 1/3rd of the anal canal. Developmentally, this line represents the hindgut-proctodeum junction. It is an important anatomical landmark, and several distinctions can be made based upon the location of a structure relative to this line:"
<http://purl.obolibrary.org/obo/UBERON_0003854>	"A neural plate that develops_from a future spinal cord."
<http://purl.obolibrary.org/obo/NBO_0000064>	"\"A feeding behavior associated with the intake or the frequency of intake or preference or manner of intake of liquids.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0036242>	"A notochord that has persisted beyond the embryonic stage."
<http://purl.obolibrary.org/obo/UBERON_0002328>	"A flexible rod-shaped body found in embryos of all chordates. It is composed of cells derived from the mesoderm and defines the primitive axis of the embryo. In some chordates, it persists throughout life as the main axial support of the body, while in most vertebrates it becomes the nucleus pulposus of the intervertebral disc. The notochord is found ventral to the neural tube."
<http://purl.obolibrary.org/obo/UBERON_0004290>	"The bilaminar epithelium formed from the myotome and dermatome."
<http://purl.obolibrary.org/obo/UBERON_0003352>	"An epithelium that is part of a midgut."
<http://purl.obolibrary.org/obo/UBERON_0003342>	"A mucosa that is part of an anal canal [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0010199>	"An anatomical boundary that corresponds to some physical discontinuity."
<http://purl.obolibrary.org/obo/UBERON_0000466>	"Anatomical entity that has no mass."
