defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001502	skin surgery	UBERON:0000014	zone of skin	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001503		UBERON:0001007	digestive system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001504		UBERON:0005409	alimentary part of gastrointestinal system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001505		UBERON:0004535	cardiovascular system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001506		UBERON:0001009	circulatory system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001507		UBERON:0004122	genitourinary system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001508		UBERON:0002204	musculoskeletal system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001509		UBERON:0001016	nervous system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001510		UBERON:2001371	pancreatic system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001511		UBERON:0004100	renal collecting system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
MAXO:0001512		UBERON:0000990	reproductive system	http://orcid.org/0000-0001-7941-2961	2023-10-19T20:39:14Z				
