defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0000792	abdominal examination	UBERON:0000916	abdomen	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				
MAXO:0001150		UBERON:0000033	head	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				
MAXO:0001151		UBERON:0000974	neck	http://orcid.org/0000-0001-7941-2979	2021-02-10T14:39:14Z				
MAXO:0001152		UBERON:0001443	chest	http://orcid.org/0000-0001-7941-3010	2021-02-10T14:39:14Z				
MAXO:0000793	pelvic examination	UBERON:0002355	pelvic region of trunk	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				pelvis examination|examination of pelvis
MAXO:0001153		UBERON:0000995	uterus	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				
MAXO:0001154	cervical examination	UBERON:0000002	uternine cervix	http://orcid.org/0000-0001-7941-2979	2021-02-10T14:39:14Z				examination of the cervix
MAXO:0000790	clinical breast examination	UBERON:0000310	breast	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				
MAXO:0001155		UBERON:0000970	eye	http://orcid.org/0000-0001-7941-2961	2021-02-10T14:39:14Z				
MAXO:0001156	whole body examination	UBERON:0013702	body proper	http://orcid.org/0000-0001-7941-2979	2021-02-10T14:39:14Z				
