defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001290		UBERON:0001690	ear	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				
MAXO:0001291	cranioplasty	UBERON:0003128	cranium	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				
MAXO:0001292		UBERON:0001456	face	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				
MAXO:0001293	hand reconstructive plastic surgery	UBERON:0002398	hand	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				reconstructive plastic surgery of hand
MAXO:0001294	septoplasty	UBERON:0001706	nasal septum	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				
MAXO:0001295	bronchoplasty	UBERON:0002185	bronchus	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z				
MAXO:0001296	iridoplasty	UBERON:0001769	iris	http://orcid.org/0000-0001-7941-2961	2022-07-14T20:39:14Z		"iridoplasty can be performed despite corneal clouding, whereas iridotomy cannot"		gonioplasty
MAXO:0009078	cheiloplasty	UBERON:0001833	lip	http://orcid.org/0000-0001-7941-2961	2022-06-15T17:44:45Z				
MAXO:0009080	mammoplasty	UBERON:0000310	breast	http://orcid.org/0000-0001-7941-2961	2022-06-15T17:45:14Z				
MAXO:0009079	palatorrhaphy	UBERON:0001716	secondary palate	http://orcid.org/0000-0001-7941-2961	2022-06-15T17:44:59Z				
									
