defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001182	arthroscopy	UBERON:0000982	skeletal joint	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001183	bronchoscopy	UBERON:0002048	lung	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				airway endoscopy
MAXO:0001184	colonoscopy	UBERON:0001155	colon	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001185	cystoscopy	UBERON:0001255	urinary bladder	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001186	enterosccopy	UBERON:0002108	small intestine	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001187	hysteroscopy	UBERON:0000995	uterus	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001188	laparoscopy	UBERON:0000916	abdominal or pelvic	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001189	laryngoscopy	UBERON:0001737	larynx	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001191	sigmoidoscopy	UBERON:0001159	sigmoid colon	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001193	esophagogastroduodenoscopy	UBERON:0004908	upper digestive tract	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				upper endoscopy|EGD|OGD|oesophagogastroduodenoscopy|gastroscopy|upper gastrointestinal endoscopy|upper GI endoscopy
MAXO:0001194	ureteroscopy	UBERON:0000056	ureter	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001195	proctoscopy	UBERON:0004907	lower digestive tract	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001196	rectoscopy	UBERON:0001052	rectum	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001197	anoscopy	UBERON:0001245	anus	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001198	otoscopy	UBERON:0001690	ear	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001199	falloscopy	UBERON:0003889	fallopian tubes	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001200	esophagoscopy	UBERON:0001043	esophagus	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				oesophagoscopy
MAXO:0001201	neuroendoscopy	UBERON:0000955	brain	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
MAXO:0001202	tracheobronchoscopy	UBERON:0007196	tracheobronchial tree	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
