defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010200	transabdominal ultrasonography	UBERON:0000916	abdomen	http://orcid.org/0000-0001-7941-2961	2020-01-24T20:39:14Z	A method of ultrasound imaging in which the ultrasound probe is pressed against the skin of the abdomen in order to create an image of the abdominal organs.		NCIT:C71375	transabdominal ultrasound|TUS|transabdominal sonography|diagnostic transabdominal ultrasound|medical transabdominal ultrasound
MAXO:0010201	uterine ultrasonography	UBERON:0009853	body of uterus	http://orcid.org/0000-0001-7941-2961	2020-01-24T20:39:14Z				
MAXO:0010202		UBERON:0000310	breast	http://orcid.org/0000-0001-7941-2961	2020-01-24T20:39:14Z				
MAXO:0010203	echocardiography	UBERON:0000948	heart	http://orcid.org/0000-0001-7941-2961	2020-01-24T20:39:14Z				
MAXO:0010204		UBERON:0002107	liver	http://orcid.org/0000-0001-7941-2965	2020-01-24T20:39:14Z				
MAXO:0010205		UBERON:0002048	lung	http://orcid.org/0000-0001-7941-2969	2020-01-24T20:39:14Z				
MAXO:0010206		UBERON:0000029	lymph node	http://orcid.org/0000-0001-7941-2970	2020-01-24T20:39:14Z				
MAXO:0010207	musculoskeletal ultrasonography	UBERON:0002204	musculoskeletal system	http://orcid.org/0000-0001-7941-2975	2020-01-24T20:39:14Z				
MAXO:0010208		UBERON:0000974	neck	http://orcid.org/0000-0001-7941-2979	2020-01-24T20:39:14Z				
MAXO:0010209	pancreatic ultrasonography	UBERON:0001264	pancreas	http://orcid.org/0000-0001-7941-2981	2020-01-24T20:39:14Z				
MAXO:0010210	rectal ultrasonography	UBERON:0001052	rectum	http://orcid.org/0000-0001-7941-2987	2020-01-24T20:39:14Z				
MAXO:0010211	scrotal ultrasonography	UBERON:0001300	scrotum	http://orcid.org/0000-0001-7941-2990	2020-01-24T20:39:14Z				
MAXO:0010212		UBERON:0002106	spleen	http://orcid.org/0000-0001-7941-2994	2020-01-24T20:39:14Z				
MAXO:0010213		UBERON:0000945	stomach	http://orcid.org/0000-0001-7941-2995	2020-01-24T20:39:14Z				
MAXO:0010214	thyroid ultrasonography	UBERON:0002046	thyroid gland	http://orcid.org/0000-0001-7941-3000	2020-01-24T20:39:14Z				
MAXO:0010215	bladder ultrasonography	UBERON:0001255	urinary bladder	http://orcid.org/0000-0001-7941-3008	2020-01-24T20:39:14Z				
MAXO:0010216	vaginal ultrasonography 	UBERON:0000996	vagina	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				
MAXO:0010217	renal ultrasonography	UBERON:0002113	kidney	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				
MAXO:0010218	carotid ultrasonography	UBERON:0005396	carotid artery segment	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				carotid ultrasound imaging
MAXO:0010219	pelvis ultrasonography	UBERON:0002355	pelvic region of trunk	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				pelvic sonography|pelvis sonography
MAXO:0010220	prostate ultrasonography	UBERON:0002367	prostate gland	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				
MAXO:0001171	testicular ultrasonography	UBERON:0000473	testis	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				
MAXO:0001170	venous ultrasonography	UBERON:0003920	venous blood vessel	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z	The use of ultrasound to produce images of structures in the venous blood vessel.			venous sonography
MAXO:0010222	neurosonology	UBERON:0000955	brain	http://orcid.org/0000-0001-7941-3010	2020-01-24T20:39:14Z				
