defined_class	defined_class_name	medical_action	medical_action_label	chemical_entity	chemical_entity_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010089		MAXO:0001018	nutrition intake	CHEBI_24898	isoleucine	http://orcid.org/0000-0001-7941-2961	2020-05-12T09:00:01Z				
MAXO:0010090		MAXO:0001018	nutrition intake	CHEBI_29016	arginine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010091		MAXO:0001018	nutrition intake	CHEBI_25094	lysine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010092		MAXO:0001018	nutrition intake	CHEBI_16811	methionine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010093		MAXO:0001018	nutrition intake	CHEBI_15428	glycine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010094		MAXO:0001018	nutrition intake	CHEBI_28044	phenylalanine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010095		MAXO:0001018	nutrition intake	CHEBI_18186	tyrosine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010096	dietary sodium intake avoidance	MAXO:0001018	nutrition intake	CHEBI_26708	sodium atom	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				sodium restriction
MAXO:0010097		MAXO:0001018	nutrition intake	CHEBI_28260	galactose	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010098	cholesterol intake avoidance	MAXO:0001018	nutrition intake	CHEBI_16113	cholesterol	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010099		MAXO:0001018	nutrition intake	CHEBI_16113	ascorbate	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010100	dietary iron intake avoidance	MAXO:0001018	nutrition intake	CHEBI_18248	iron atom	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				dietary iron restriction
MAXO:0010101		MAXO:0001018	nutrition intake	CHEBI_22652	ascorbic acid	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010102		MAXO:0001018	nutrition intake	CHEBI_22918	branched-chain amino acid	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				branched chain amino acid restriction|branched chain amino acid intake avoidance|avoid branched chain amino acids ingestion
MAXO:0010103		MAXO:0001018	nutrition intake	CHEBI_18139	trimethylamine	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010104		MAXO:0001018	nutrition intake	CHEBI_15354	choline	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010105		MAXO:0001018	nutrition intake	CHEBI_15724	trimethylamine N-oxide	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010106		MAXO:0001018	nutrition intake	CHEBI_61995	lecithin	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010107				CHEBI_15889	sterol						
MAXO:0010108				CHEBI_35584	purine						
MAXO:0010109				CHEBI_28757	fructose						
MAXO:0010110				CHEBI_17716	lactose						
MAXO:0010111				CHEBI_25017	leucine						
MAXO:0010112				CHEBI_132952	oxalate 						
MAXO:0010113				CHEBI_26020	phosphate						
MAXO:0010114	saturated fat intake avoidance			CHEBI:26607	saturated fatty acid						
MAXO:0010115				CHEBI_22984	calcium						
MAXO:0010116				CHEBI_17992	sucrose						
MAXO:0010117				CHEBI_17855	triglyceride						
MAXO:0010118				CHEBI_17015	riboflavin						vitamin B12 intake avoidance|B12 restriction
