defined_class	defined_class_name	phenotypic_abnormality	phenotypic_abnormality_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001203	screening for breast cancer	HP:0100013	neoplasm of the breast	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001204	screening for venous thrombosis	HP:0004936	venous thrombosis	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0000126	cancer screening	HP:0002664	neoplasm	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001205	screening for colorectal polyps	HP:0200063	colorectal polyposis	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001206	screening for intestinal polyps	HP:0005266	intestinal polyp	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001207	screening for uterine polyps	HP:0025635	ureteral polyp	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001208	screening for cervical polyps	HP:0030159	cervical polyp	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001209	screening for small intestinal polyps	HP:0012737	small intestine polyp	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001210	screening for gastric polyps	HP:0004394	multiple gastric polyps	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
MAXO:0001211	screening for hepatoblastoma	HP:0002884	hepatoblastoma	http://orcid.org/0000-0001-7941-2961	2022-03-24T20:39:14Z				
