defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
		UBERON:0001007	digestive system	http://orcid.org/0000-0001-7941-2961	2019-05-19T20:39:14Z				
		UBERON:0004535	cardiovascular system	http://orcid.org/0000-0001-7941-2961	2019-05-19T20:39:14Z				abdominal MRI
			circulatory system	http://orcid.org/0000-0001-7941-2961	2019-05-19T20:39:14Z				
			excretory system	http://orcid.org/0000-0001-7941-2961	2019-05-19T20:39:14Z				
			exocrine system	http://orcid.org/0000-0001-7941-2961	2019-05-19T20:39:14Z				
			genitourinary system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				spinal column MRI|MRI of the spinal column
			hematopoietic system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
			integumental system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				MRI of the pelvis
			musculoskeletal system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				MRI of muscle
			nervous system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
			reproductive system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
			respiratory system	http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
				http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
				http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				MRI of cervical spine
				http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
				http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
				http://orcid.org/0000-0001-7941-2961	2023-02-10T20:39:14Z				
