defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001029	adenoidectomy	UBERON:0001732	pharyngeal tonsil	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C51697	removal of adenoids|removal of tonsil of Luschka|removal of nasopharyngeal tonsil| removal of tonsilla pharyngealis|adenoid removal
MAXO:0001030	adrenalectomy	UBERON:0002369	adrenal gland	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001031	apicoectomy	UBERON:0003677	tooth root	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001032	appendectomy	UBERON:0001154	vermiform appendix	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C51687	appendicectomy|removal of appendix| appendix removal
MAXO:0001033	arthectomy	UBERON:0000982	skeletal joint	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				removal of a joint
MAXO:0001034	auriculectomy	UBERON:0001690	ear	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001035	bursectomy	UBERON:0003668	synovial bursa	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				removal of bursa|bursa removal
MAXO:0001036	gastric cardiectomy	UBERON:0001162	cardia of stomach	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				cardiectomy|cardiectomy of stomach
MAXO:0001037	cephalectomy	UBERON:0000033	head	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				decapitation
MAXO:0001038	cervicectomy	UBERON:0000002	uterine cervix	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				removal of cervix|cervix removal
MAXO:0001039	cholecystectomy	UBERON:0002110	gall bladder	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C51676	
MAXO:0001040	choroidectomy	UBERON:0001776	optic choroid	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				removal of choroid layer of they eye
MAXO:0001041	clitoridectomy	UBERON:0002411	clitoris	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				clitorectomy 
MAXO:0001042	colectomy	UBERON:0001155	colon	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C15209	
MAXO:0001043	craniectomy	UBERON:0003128	cranium	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C51791	
MAXO:0001044	cystectomy	UBERON:0001255	urinary bladder	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z		Can mean the removal of the urinary bladder or the surgical removal of a cyst.	NCIT:C15217	removal of the bladder|bladder removal
MAXO:0001045	corpectomy	UBERON:0001075	bony vertebral entrum	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				vertebrectomy|vertebral body removal|corpus vertebra removal|corpus vertebrae removal|body of vertebrae removal
MAXO:0001046	discectomy	UBERON:0001066	intervertebral disk	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C21009	removal of intervertebral disc|removal of spinal disc
MAXO:0001047	digestive tract diverticulectomy	UBERON:0009854	digestive tract diverticulum	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001048	thyroid diverticulectomy	UBERON:0007689	thyroid diverticulum	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001049	hepatic diverticulectomy	UBERON:0008835	hetpatic diverticulum	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001050	duodenectomy	UBERON:0002114	duodenum	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				small bowel resection|enterectomy|pancreas-sparing duodenectomy
MAXO:0001051	endoscopic thoracic sympathectomy	UBERON:0004295	sympathetic nerve trunk	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001052	esophagectomy	UBERON:0001043	esophagus	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				oesophagectomy
MAXO:0001053	gastrectomy	UBERON:0000945	stomach	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001054	glossectomy	UBERON:0001723	tongue	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001055	gonadectomy	UBERON:0000991	gonad	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001056	hepatectomy	UBERON:0002107	liver	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001057	hypophysectomy	UBERON:0000007	pituitary gland	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				hypophysis removal
MAXO:0001058	hysterectomy	UBERON:0000995	uterus	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001059	iridectomy	UBERON:0001769	iris	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001060	keratectomy	UBERON:0000964	cornea	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001061	laminectomy	UBERON:0002412	vertebra	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001062	laryngectomy	UBERON:0001737	larynx	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				lymph node dissection
MAXO:0001063	lymphadenectomy	UBERON:0000029	lymph node	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001064	mastectomy	UBERON:0000310	breast	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001065	nephrectomy	UBERON:0002113	kidney	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001066	neurectomy	UBERON:0001021	nerve	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001067	oophorectomy	UBERON:0000992	ovary	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				ovariectomy|removal of female gonad|female gonad removal|removal of gonada of female|removal of female genitalia|removal of female reproductive system gonada
MAXO:0001068	orchiectomy	UBERON:0000473	testis	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				orchidectomy|castration|removal of testicles|removal of male genitalia gonad
MAXO:0001069	ostectomy	UBERON:0002481	bone tissue	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001070	pancreatectomy	UBERON:0001264	pancreas	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				
MAXO:0001071	abdominal panniculectomy	UBERON:0013488	panniculus	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z			NCIT:C51597	
MAXO:0001072	parathyroidectomy	UBERON:0001132	parathyroid gland	http://orcid.org/0000-0001-7941-2961	2020-06-23T20:39:14Z				parathyroid removal
