defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001342	colostomy	UBERON:0001155	colon	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the colon through the abdominal wall.			
MAXO:0001343	cystostomy procedure	UBERON:0001255	urinary bladder	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	Surgical creation of an external opening into the anterior bladder wall. [ NCI ]		NCIT:C15218	
MAXO:0001344	enterostomy	UBERON:0002108	small intestine	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the small intestines through the abdominal wall.		NCIT:C52005	
MAXO:0001345	ureterostomy	UBERON:0000056	ureter	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	"A surgically created connection between the ureter and the skin, which drains urine from the ureter in individuals with urinary obstruction or other issues that prevent normal urination."		NCIT:C15345	
MAXO:0000504	tracheotomy	UBERON:0007196	tracheobronchial tree	http://orcid.org/0000-0001-7941-2961	2020-01-23T16:48:07Z	"Surgical formation of an opening into the trachea through the neck, or the opening so created."		PMID:32644550	construction of tracheostomy|trach
MAXO:0001346	gastrostomy	UBERON:0000945	stomach	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The creation of an artificial external opening into the stomach for nutritional support or gastric decompression.		https://en.wikipedia.org/wiki/Gastrostomy	placement of g-tube|placement of gastrostomy-tube
MAXO:0001347	duodenostomy	UBERON:0002114	duodenum	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the duodenum through the abdominal wall.		NCIT:C122593	
MAXO:0001348	ileostomy	UBERON:0002116	ileum	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the ileum through the abdominal wall.		NCIT:C15257	
MAXO:0001349	jejunostomy	UBERON:0002115	jejunum	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the jejunum through the abdominal wall.		NCIT:C79978	placement of j-tube
MAXO:0001350	nephrostomy	UBERON:0002113	kidney	http://orcid.org/0000-0001-7941-2961	2023-02-27T20:39:14Z	The surgical formation of an external opening from the kidney through the abdominal wall.			
