defined_class	defined_class_name	chemical	chemical_entity	created_by	date	comment	xref	syns
MAXO:0001227	beta carotene measurement	CHEBI:17579	beta carotene	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			b-carotene measurement|beta-carotene test|beta carotene assessment|beta-carotene test|beta-carotene measurement
MAXO:0001228		CHEBI:16919	creatine	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001229	phosphocreatine measurement	CHEBI:17287	N-phosphocreatine	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001230		CHEBI:27470	folic acid	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001231		CHEBI:17126	carnitine	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001232		CHEBI:15354	choline	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001233		CHEBI:135063	Glycerophosphorylcholine	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001234	phosphocholine measurement	CHEBI:36700	phosphocholines	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001235		CHEBI:18405	pyridoxal 5'-phosphate	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001236	chemical measurement	CHEBI:24431	chemical entity	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
