defined_class	defined_class_name	chemical_identity	chemical_identity_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO_0000058	pharmacotherapy	CHEBI_23888	drug						
MAXO_0000170	anesthetic agent therapy	CHEBI_38867	anaesthetic						
MAXO_0001020	general anesthetic agent therapy	CHEBI:38869	general anesthetic						
MAXO_0000195	local anesthetic	CHEBI:36333	local anaesthetic						
MAXO_0000159	analgesic therapy	CHEBI_35480	analgesic						
MAXO_0000625	inhalation anesthtetic therapy	CHEBI:38870	inhalation anesthetic						
MAXO_0000626	intravenous anesthetic therapy	CHEBI:38877	intravenous anaesthetic						
MAXO_0000627	topical anesthetic therapy	CHEBI:48425	topical anaesthtic						
MAXO_0000193	non-opioid analagesics therapy	CHEBI_35481	non-narcotic analgesic						
MAXO_0000194	opioid analgesic therapy	CHEBI_35482	opioid analgesic						
MAXO_0000231	antiangiogenic agent therapy	CHEBI_48422	angiogenesis inhibitor						
MAXO_0000629	angiogensis inducing agent therapy	CHEBI_50927	angiogenesis inducing agent						
MAXO_0000628	angiogenesis modulating agent therapy	CHEBI_50926	angiogenesis modulating agent						
MAXO_0000630	pro-angiogenic agent therapy	CHEBI_72571	proangiogenic agent						
MAXO_0000631	antacid agent therapy	CHEBI_65265	antacid						
MAXO_0000632	anti-ulcer agent therapy	CHEBI_49201	anti-ulcer drug						
MAXO_0000633	allergy agent therapy	CHEBI_50857	anti-allergic agent						
MAXO_0000634	anti-asthmatic agent therapy	CHEBI_49167	anti-asthmatic drug therapy						
MAXO_0000635	anti-estrogen agent therapy	CHEBI_50739	anti-estrogen drug						
MAXO_0000169	anti-inflammatory agent therapy	CHEBI_35472	anti-inflammatory drug						
MAXO_0000221	nsaid therapy	CHEBI_35472	nsaid therapy						
MAXO_0000173	antiemetic therapy	CHEBI_50919	antiemetic						
MAXO_0000636	antidyskinesia agent therapy	CHEBI_66956	antidyskinesia agent						
MAXO_0000325	anti-infective agent therapy	CHEBI_35441	anti-infective agent						
MAXO_0000174	anti-fungal agent therapy	CHEBI_86327	anti-fungal agent						
MAXO_0001021	antimicrobial agent therapy	CHEBI_36043	antimicrobial agent therapy						
MAXO_0000061	antibacterial agent therapy	CHEBI_36047	antibacterial agent therapy						
MAXO_0000227	antimycobacterial agent therapy	CHEBI_64912	antimycobacterial agent						
MAXO_0000228	antitubercular agent therapy	CHEBI_33231	antitubercular agent						
MAXO_0000229	leprostatic agent therapy	CHEBI_35816	leprostatic drug						
MAXO_0000432	beta-lactam antibacterial agent therapy	CHEBI:27933 	beta-lactam antibiotic						
MAXO_0000197	cephalosporin agent therapy	CHEBI:23066	cephalosporin antibiotic						
MAXO_0000198	penicillin agent therapy	CHEBI:17334	penicillin						
MAXO_0000200	macrolide antibacterial agent therapy	CHEBI:25105	macrolide						
MAXO_0000201	quinolone antibacterial agent therapy	CHEBI:86324	quiniolone antibioctic						
MAXO_0000202	sulfonamide antibacterial agent therapy	CHEBI:87228	sulfonamide antibiotic						
MAXO_0000203	tetracycline therapy	CHEBI:27902	tetracycline						
MAXO_0000240	antiprotozoal agent therapy	CHEBI:35820	antiprotozoal drug						
MAXO_0000168	antiviral agent therapy	CHEBI_36044	antiviral drug						
MAXO_0000248	anti-hiv agent therapy	CHEBI_22587  	anti-HIV agent						
MAXO_0000249	"anti-HIV therapy, fusion inhibitor"	CHEBI_59886	HIV fusion inhibitor						
MAXO_0000252	HIV protease inhibitor therapy	CHEBI:35660	HIV protease inhibitor						
MAXO_0000637	anti-HSV agent therapy	CHEBI:64952	anti-HSV agent						
