defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010400	blood cell count	CL:0000081	blood cell	http://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	"The determination of the number of red blood cells, white blood cells, and platelets in a blood sample."		NCIT:C28133	blood cell count measurement|complete blood cell count|complete blood count|CBC|full blood count|FBC
MAXO:0010401	red blood cell count	CL:0000232	erythrocyte	http://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C51946	red blood cell count|red blood cell count measurement
MAXO:0010402		CL:0000558	reticulocyte	http://orcid.org/0000-0001-7941-2965	2020-04-27T20:39:14Z			NCIT:C51947	
MAXO:0010403	white blood cell count	CL:0000738	leukocyte	http://orcid.org/0000-0001-7941-2969	2020-04-27T20:39:14Z			NCIT:C51948	white blood cell count measurement|WBC
MAXO:0010404	blast cell count	CL:0000055	non-terminally differentiated cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of blast cells present in a blood sample.		NCIT:C74605	blast cell count measrument.
MAXO:0010405		CL:0000612	eosnophilic myelocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C84821	
MAXO:0010406		CL:0000773	eosinophilic metamyelocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C84819	
MAXO:0010407		CL:0000094	granulocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C96654	polymorphonuclear leukocyte cell count
MAXO:0010408		CL:0000771	eosinophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C64550	
MAXO:0010409		CL:0000767	basophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C64470	total basophil count
MAXO:0010410		CL:0000775	neutrophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C51950	
MAXO:0010411		CL:0000542	lymphocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C51949	
MAXO:0010412		CL:0000233	platelet	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z			NCIT:C51951	
MAXO:0010413		CL:0002193	myelocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010414		CL:0000580	neutrophilic myelocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010415		CL:0000614	basophilic myelocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010416		CL:0000235	marcophage	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010417	dendritic cell count	CL:0000451	dendritic cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of dendritic cells present in a sample.			dendritic cell count measurement
MAXO:0010418	B cell count	CL:0000236	B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of B cells present in a sample.			B cell count measurement|B-cell count
