defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
	arthroscopy		joints	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	bronchoscopy		lungs	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	colonoscopy		colon	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	cystoscopy		bladder	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	enterosccopy		small intestine	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	hysteroscopy		uterus	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	laparoscopy		abdominal or pelvic	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	laryngoscopy		larynx	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	mediastinoscopy		mediastinum	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	sigmoidoscopy		"rectum, large intestine, sigmoid"	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				
	thoracoscopy		lungs and chest wall	http://orcid.org/0000-0001-7941-2961	2022-03-16T20:39:14Z				pleuroscopy
	esophagogastroduodenoscopy		esophagus and upper tract						"upper gastrointestinal endoscopy, gastroscopy, EGD"
	ureteroscopy		ureter						
	colposcopy		cervix/womb						
	Endoscopic Retrograde Cholangiopancreatography								ERCP
	Proctoscopy								
	rectoscopy		rectum						
	anoscopy		anus						
	otoscopy		ear						
	falloscopy		fallopian tubes						
	Esophagoscopy		esophagus						
	gastroscopy		"stomach, duodenum"						
	neuroendoscopy		areas of the brain						
