?cls	?def
<http://purl.obolibrary.org/obo/MAXO_0000220>	"Treatment with a class of steroid hormones that regulate a variety of physiological processes, in particular control of the concentration of glucose in blood."
<http://purl.obolibrary.org/obo/MAXO_0000634>	"Usage of a drug to treat asthma."
<http://purl.obolibrary.org/obo/MAXO_0000640>	"Use of a natural or synthetic analog of the hormones secreted by the adrenal gland as a type of anti-inflammatory treatment."
<http://purl.obolibrary.org/obo/MAXO_0000300>	"The drug treatment of inflammatory bowel disease (IBD), which may include the use of anti-inflammatory agents and\nagents that reduce the symptoms associated with IBD."
<http://purl.obolibrary.org/obo/MAXO_0000648>	"A therapy using a compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
<http://purl.obolibrary.org/obo/MAXO_0000589>	"A  tecnique that uses an amplification of nucleic acids  to detect a pathogen.  Some amplification methods include polymerase chain reaction (PCR), strand displacement assay (SDA), or transcription mediated assay (TMA) to detect a virus, bacteria or other pathogen."
<http://purl.obolibrary.org/obo/MAXO_0000694>	"An evaluation by an internist who treats diseases of joints, muscle, bones and tendons. This specialist diagnoses and treats arthritis, back pain, muscle strains, common athletic injuries and collagen diseases."
<http://purl.obolibrary.org/obo/MAXO_0000680>	"An evalutation by a personal physician who provides long-term, comprehensive care in the office and in the hospital, managing both common and complex illnesses of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and the digestive, respiratory and vascular systems. Internists are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs."
<http://purl.obolibrary.org/obo/MAXO_0000515>	"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger."
<http://purl.obolibrary.org/obo/MAXO_0000440>	"Treatment with colony-stimulating factors (CSF) can help the blood-forming tissue recover from the effects of chemotherapy and radiation therapy. These factors include interleukin-3 (IL-3), granulocyte colony-stimulating factor (G-CSF), macrophage colony-stimulating factor (M-CSF), and granulocyte-macrophage colony-stimulating factor (GM-CSF)."
<http://purl.obolibrary.org/obo/MAXO_0000512>	"A form of non-invasive mechanical pressure support ventilation that uses a continuous positive airway pressure level to support spontaneous breathing activity."
<http://purl.obolibrary.org/obo/MAXO_0000616>	"The measurement of the ratio of oxygenated hemoglobin to total hemoglobin in the blood."
<http://purl.obolibrary.org/obo/MAXO_0000003>	"Any procedure or test to diagnose a disease or disorder."
<http://purl.obolibrary.org/obo/MAXO_0000196>	"An antibacterial substance with aminoglycoside structure."
<http://purl.obolibrary.org/obo/MAXO_0000061>	"Use of a drug to treat or prevent bacterial infections."
<http://purl.obolibrary.org/obo/MAXO_0000090>	"Delivery of enteral nutrition via a tube placed into the stomach, duodenum, or jejunum."
<http://purl.obolibrary.org/obo/MAXO_0000662>	"Use of a drug that selectively binds to and activates AMPA receptors."
<http://purl.obolibrary.org/obo/MAXO_0000118>	"Immunization is the process whereby a person is made immune or resistant to an infectious disease, typically by the administration of a vaccine."
