?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MAXO_0001005>	"An agent that binds to but does not activate an opioid receptor thereby blocking the actions of endogenous or exogenous opioid receptor agonists."	"NCIT:C681 CHEBI:60605"
<http://purl.obolibrary.org/obo/UBERON_0001007>	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."	"BILA:0000082 MIAA:0000018 MAT:0000018 AAO:0000129 Wikipedia:Digestive_system galen:DigestiveSystem MESH:D004064 SCTID:278859004 ncithesaurus:Digestive_System MA:0002431 EFO:0000793 TAO:0000339 XAO:0000125 GAID:278 CALOHA:TS-1293 FMA:7152 TADS:0000170 ZFA:0000339 WBbt:0005748 BTO:0000058"
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/UBERON_0008846>	"Dense regular connective tissue connecting two or more adjacent skeletal elements[VSAO,modified]."	"GAID:118 MA:0003005 FMA:25624 Wikipedia:Ligament#Articular_ligaments AAO:0010444 EHDAA2:0003232 VSAO:0000072 EV:0100144 SCTID:410744003 CALOHA:TS-2146 AEO:0000090"
<http://purl.obolibrary.org/obo/UBERON_0011584>	"Section of the forelimb skeleton located between the stylopodium and the autopodium."	"VSAO:0005010"
<http://purl.obolibrary.org/obo/HP_0025033>	"A structural anomaly of the digestive system."	
<http://purl.obolibrary.org/obo/HP_0030680>	"Any structural anomaly of the heart and blood vessels."	"UMLS:C4049796"
<http://purl.obolibrary.org/obo/UBERON_0007829>	"A bone that is part of a pectoral girdle region."	"MA:0000292 EMAPA:35669"
<http://purl.obolibrary.org/obo/CL_0000667>	"An extracellular matrix secreting cell that secretes collagen."	
<http://purl.obolibrary.org/obo/MAXO_0000442>	"Treatment with agents or medications which modulate the bone marrow's production of red blood cells."	
<http://purl.obolibrary.org/obo/UBERON_0002194>	"Capsule surrounding lymph node composed of connective tissue with some plain muscle fibers."	"FMA:74604 EMAPA:35524 SCTID:327532004 NCIT:C33028 MA:0000739 Wikipedia:Lymph_node_capsule"
<http://purl.obolibrary.org/obo/MAXO_0000525>	"A clinical recommendation to avoid or refrain from certain behaviors in order to maintain health or ameliorate symptoms."	
<http://purl.obolibrary.org/obo/MAXO_0009025>	"Surgical implantation of a device for the treatment of severe to profound sensorineural hearing loss. It works by transducing acoustic energy into an electrical signal, which is used to stimulate surviving spiral ganglion cells of the auditory nerve."	
<http://purl.obolibrary.org/obo/UBERON_0002200>	"Vasculature that is part of a head [Automatically generated definition]."	"EFO:0003656 TAO:0001267 XAO:0004152 ZFA:0001267 FMA:74710"
<http://purl.obolibrary.org/obo/HP_0100013>	"A tumor (abnormal growth of tissue) of the breast."	"UMLS:C1458155 SNOMEDCT_US:126926005 NCIT:C3262"
<http://purl.obolibrary.org/obo/MAXO_0000627>	"Treatment with an agent that causes a superficial loss of sensation in conjunctiva, mucous membranes, or skin, produced by direct application of local anesthetic solutions, ointments, gels or sprays."	
<http://purl.obolibrary.org/obo/UBERON_0000996>	"A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles[WP]."	"galen:Vagina MAT:0000128 MESH:D014621 FMA:19949 CALOHA:TS-1103 GAID:381 MA:0000394 EFO:0000976 VHOG:0001138 EMAPA:18986 EV:0100117 MIAA:0000128 NCIT:C12407 SCTID:181441005 Wikipedia:Vagina BTO:0000243"
<http://purl.obolibrary.org/obo/UBERON_0035612>	"A skeletal element of the ethmoid region with complex morphology that are lined with mucuous membranes involved in either olfaction or air conditioning."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/GO_0035930>	"The regulated release of any corticosteroid hormone into the circulatory system."	
<http://purl.obolibrary.org/obo/HP_0010766>	"Deposition of calcium salts in a tissue or location in which calcification does not normally occur."	"UMLS:C3806226"
<http://purl.obolibrary.org/obo/MAXO_0000895>	"A small cut is made through the patient's back and a nephroscope is inserted to locate and remove the kidney stone."	
<http://purl.obolibrary.org/obo/CHEBI_71392>	"An organic anion that is the conjugate base of tetracycline obtained by deprotonation of the two enolic hydroxy groups and protonation of the tertiary amino group."	
<http://purl.obolibrary.org/obo/UBERON_0001773>	"Opaque fibrous outer layer of the eyeball[ZFA,Kardong,WP]."	"XAO:0000183 MESH:D012590 EMAPA:19027 AAO:0010354 NCIT:C12784 GAID:911 ZFA:0005563 EV:0100342 VHOG:0001274 FMA:58269 SCTID:181163006 Wikipedia:Sclera MA:0000280 BTO:0001606"
<http://purl.obolibrary.org/obo/MAXO_0000865>	"The determination of the amount of protein present in blood."	
