#GR_shortname	GR_Title	NBK_id	PMID
abs	Cytochrome P450 Oxidoreductase Deficiency	NBK1419	20301592
accpn	Hereditary Motor and Sensory Neuropathy with Agenesis of the Corpus Callosum	NBK1372	20301546
achm	Achromatopsia	NBK1418	20301591
achon1b	Achondrogenesis Type 1B	NBK1516	20301689
achondroplasia	Achondroplasia	NBK1152	20301331
acp	Aceruloplasminemia	NBK1493	20301666
acpp	Andersen-Tawil Syndrome	NBK1264	20301441
actg2-dis	ACTG2-Related Disorders	NBK299311	26072522
ada	Adenosine Deaminase Deficiency	NBK1483	20301656
adams-oliver	Adams-Oliver Syndrome	NBK355754	27077170
adamtsl4-eyes	ADAMTSL4-Related Eye Disorders	NBK84111	22338190
adcy5-dysk	ADCY5-Related Dyskinesia	NBK263441	25521004
adnfle	Autosomal Dominant Nocturnal Frontal Lobe Epilepsy	NBK1169	20301348
adnp-dis	ADNP-Related Intellectual Disability and Autism Spectrum Disorder	NBK355518	27054228
aec	TP63-Related Disorders	NBK43797	20556892
ags	Aicardi-Goutieres Syndrome	NBK1475	20301648
ahc	X-Linked Adrenal Hypoplasia Congenita	NBK1431	20301604
aic	Aicardi Syndrome	NBK1381	20301555
aip	Acute Intermittent Porphyria	NBK1193	20301372
alagille	Alagille Syndrome	NBK1273	20301450
alexander	Alexander Disease	NBK1172	20301351
alkap	Alkaptonuria	NBK1454	20301627
alk-nbs	ALK-Related Neuroblastic Tumor Susceptibility	NBK24599	20301782
alpers	POLG-Related Disorders	NBK26471	20301791
alpha1-a	Alpha-1 Antitrypsin Deficiency	NBK1519	20301692
alport	Alport Syndrome and Thin Basement Membrane Nephropathy	NBK1207	20301386
alps	Autoimmune Lymphoproliferative Syndrome	NBK1108	20301287
als-ftd	C9orf72-Related Amyotrophic Lateral Sclerosis and Frontotemporal Dementia	NBK268647	25577942
als-overview	Amyotrophic Lateral Sclerosis Overview	NBK1450	20301623
alstrom	Alstrom Syndrome	NBK1267	20301444
alzheimer	Alzheimer Disease Overview	NBK1161	20301340
alzheimer-early	Early-Onset Familial Alzheimer Disease 	NBK1236	20301414
a-mannosidosis	Alpha-Mannosidosis	NBK1396	20301570
amish-mcph	Amish Lethal Microcephaly	NBK1365	20301539
amrf	Action Myoclonus - Renal Failure Syndrome	NBK333437	26677510
androgen	Androgen Insensitivity Syndrome	NBK1429	20301602
angelman	Angelman Syndrome	NBK1144	20301323
aniridia	Aniridia	NBK1360	20301534
ano5-md	ANO5-Related Muscle Diseases	NBK114459	23193613
anophthalmia-ov	Microphthalmia/Anophthalmia/Coloboma Spectrum	NBK1378	20301552
ao2	Atelosteogenesis Type 2	NBK1317	20301493
aoa	Ataxia with Oculomotor Apraxia Type 1	NBK1456	20301629
aoa2	Ataxia with Oculomotor Apraxia Type 2	NBK1154	20301333
apbd	Adult Polyglucosan Body Disease	NBK5300	20301758
apoe-leu167del	APOE p.Leu167del-Related Lipid Disorders	NBK208534	24921113
aprt-def	Adenine Phosphoribosyltransferase Deficiency	NBK100238	22934314
arg1	Arginase Deficiency	NBK1159	20301338
args-aciduria	Argininosuccinate Lyase Deficiency	NBK51784	21290785
arsacs	ARSACS	NBK1255	20301432
arterial-t	Arterial Tortuosity Syndrome	NBK253404	25392904
arts	Arts Syndrome	NBK2591	20301738
arvd	Arrhythmogenic Right Ventricular Cardiomyopathy	NBK1131	20301310
ataxias	Hereditary Ataxia Overview	NBK1138	20301317
ataxia-telangiectas	Ataxia-Telangiectasia	NBK26468	20301790
a-thal	Alpha-Thalassemia	NBK1435	20301608
aved	Ataxia with Vitamin E Deficiency	NBK1241	20301419
bap1-tpds	BAP1 Tumor Predisposition Syndrome	NBK390611	27748099
baraitser-winter	Baraitser-Winter Cerebrofrontofacial Syndrome	NBK327153	26583190
barth	Barth Syndrome	NBK247162	25299040
bbs	Bardet-Biedl Syndrome	NBK1363	20301537
bcns	Nevoid Basal Cell Carcinoma Syndrome	NBK1151	20301330
